period,Polyester_yarn_price,PTA_price,MEG_price,hs61_vietnam_ExpPrice,hs62_vietnam_ExpPrice,hs61_china_ExpPrice,hs62_china_ExpPrice,hs61_india_ExpPrice,hs62_india_ExpPrice,hs61_indonesia_ExpPrice,hs62_indonesia_ExpPrice,hs61_cambodia_ExpPrice,hs62_cambodia_ExpPrice,Global Price of Cotton (US Cents/lb),usd2vnd_exchange_monthly_avg_rate,brent_oil_price_monthly_avg_rate,Global_clothing_export
202205,1.4639476635044522,1.0937524643891994,0.8490455632571992,1471967749.467,1330897735.124,7981760656.0,6357559766.0,711975142.917,704218958.501,331660964.901,289697048.215,560757842.55,208895398.66,163.979545454545,23085.18181818182,112.113636363636,19949391262.335
202206,1.5539147989760975,1.093752464391331,0.8490455632486512,1704544512.646,1573086292.109,9262453117.0,7849743900.0,787824875.422,713778216.943,438332621.563,436305791.103,646447020.68,221482619.81,154.445454545455,23212.727272727272,117.692727272727,23633998967.276005
202207,1.6750868020719292,1.0937524643893517,0.8490455632463554,1710051527.717,1679759216.701,10156189485.0,8428760950.0,737776402.621,645135907.711,426117545.557,445568639.694,806336825.27,294007060.92,131.035714285714,23379.761904761905,105.252857142857,25329703561.190994
202208,1.5259568241425392,1.0937524643938208,0.8490455632490742,1821090512.322,1839102687.466,9522580064.0,8037007353.0,637433129.453,597198200.593,450313121.193,456308900.459,624778633.78,223354176.01,124.758695652174,23399.78260869565,97.6430434782609,24209166778.275997
202209,1.4769117287077618,1.0937524643924748,0.8490455632467155,1150542014.278,1317464064.397,8111862093.0,6983157272.0,552736348.528,513875934.199,312013367.191,373206637.535,512257165.9,195040784.95,117.940909090909,23623.5,90.6081818181818,20022155681.978004
202210,1.3620919723387295,1.093752464380314,0.8490455632597247,1183048088.53,1280722286.324,6901047616.0,5904400433.0,510645295.143,478941292.141,288258615.239,334745392.699,403538148.49,169498314.23,100.27619047619,24324.285714285717,93.7185714285714,17454845481.796
202211,1.4245025214948714,1.0937524643859649,0.849045563232185,1296837123.001,1344992697.108,6674712195.0,5597516271.0,595776173.654,605182075.047,372709464.021,410365668.071,430027399.18,188378795.79,101.165909090909,24810.90909090909,90.9386363636364,17516497861.872
202212,1.3315540888831654,1.0937524643779968,0.8490455632402601,1298282866.926,1340644612.392,7036491289.0,6165330571.0,700047850.731,783179885.246,332158432.2,398581852.043,423260636.54,245247252.16,100.886363636364,23731.081818181818,81.5031818181818,18723225248.238
202301,1.3361579598629885,0.9044773284694589,0.6506380094606268,961768890.711,1093634960.126,6969951430.0,6141027004.0,637234084.834,857126108.317,284985279.949,377396869.923,350294104.24,205388727.03,100.311363636364,23454.454545454544,84.0818181818182,17878807459.129997
202302,1.3582492404762532,0.9044773284655075,0.6506380094981485,993845427.701,1038249119.747,3557998406.0,3298267131.0,553500383.217,854915188.339,284595727.906,374864403.37,326457492.28,201322155.36,99.43,23637.65,83.6325,11484015434.920004
202303,1.3202432600216187,0.9044773284708646,0.6506380094652707,1131295107.029,1187626080.183,6493377108.0,5737127799.0,556708685.998,893113384.41,303988526.869,377155515.128,370388902.42,200801573.28,95.3913043478261,23578.304347826088,79.2565217391304,17251582682.316998
202304,2.0674759894610224,0.90447732847128,0.6506380094823504,1154404685.466,1133847993.083,6176373002.0,5668153662.0,526605963.988,686868174.181,212058024.927,259506059.736,347697654.41,147243825.2,95.1325,23463.45,83.536,16312759044.991001
202305,2.066447198886319,0.9044773284677846,0.6506380094832461,1302900778.19,1355964894.475,6751441032.0,5884266883.0,587204588.666,649450946.814,310453538.525,377241829.258,460679248.32,183838296.31,93.8847826086957,23453.695652173912,75.7473913043478,17863442035.558002
202306,2.066447198531994,0.9044773284699562,0.6506380094636138,1364797946.797,1466287704.49,7839394714.0,6964463570.0,612006775.305,637415094.618,345583553.363,374195893.003,622428052.44,237910020.19,92.4181818181818,23505.0,74.975,20464483324.205994
202307,1.3519912820253175,0.90447732846935,0.6506380094864609,1475346915.064,1543381789.722,8260810457.0,7059555019.0,584245440.95,558129578.028,364521336.934,388320679.924,587324547.53,227301261.81,93.2690476190476,23661.666666666668,80.1090476190476,21048937025.961998
202308,1.3023584968209876,0.9044773284685458,0.6506380094878843,1545072087.777,1603764519.387,8733109355.0,6832785481.0,560014405.584,574256928.623,533095100.035,386305488.322,573581009.52,197215196.95,95.995652173913,23871.82608695652,85.1682608695652,21539199572.198
202309,1.3588075635662922,0.9044773284765388,0.6506380094858731,1127173027.292,1166433486.615,7875018224.0,6092566618.0,491886305.459,456340426.015,274603561.312,295632015.746,506405973.93,183277167.23,97.7690476190476,24216.904761904763,92.6733333333333,18469336805.599
202310,2.0664471989567224,0.9044773284737457,0.6506380094795312,1172006776.665,1130667227.299,6420128116.0,5193052645.0,470358381.401,440678617.219,271654534.409,304636273.652,396373963.67,143677318.33,95.6863636363636,24474.045454545456,88.9477272727273,15943233853.645002
202311,2.067134822092353,0.9044773284740732,0.6506380094681135,1262138175.79,1225929145.446,6515965388.0,5419021408.0,505775226.846,515766027.444,296539900.309,332041434.387,439368552.81,197232948.58,90.4318181818182,24308.954545454544,82.1863636363636,16709778207.612
202312,2.0664471987013893,0.904477328472077,0.650638009486839,1272403717.226,1369526626.647,7155629510.0,6320276504.0,578663262.44,716425082.063,298285558.203,371168417.501,497609895.61,265113442.43,90.4071428571429,24270.95238095238,77.5409523809524,18845102016.120003
